Nom de la playlist,Popularité,Nom du morceau,Artiste
Top 50 France,1,NANANI NANANA,Gazo
Top 50 France,2,SOIS PAS TIMIDE,GIMS
Top 50 France,3,CIEL,GIMS
Top 50 France,4,Alpha,"Damso, Kalash"
Top 50 France,5,APT.,"ROSÉ, Bruno Mars"
Top 50 France,6,Ça parle mal,Bouss
Top 50 France,7,CARTIER SANTOS,SDM
Top 50 France,8,Die With A Smile,"Lady Gaga, Bruno Mars"
Top 50 France,9,4 Kampé,Joé Dwèt Filé
Top 50 France,10,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme"
Top 50 France,11,Minimum ça,Dr. Yaro
Top 50 France,12,SPIDER,"GIMS, DYSTINCT"
Top 50 France,13,Run,"Rim'K, SDM"
Top 50 France,14,KONGOLESE SOUS BBL,"Theodora, Jeez Suave"
Top 50 France,15,POUR ELLE,SDM
Top 50 France,16,BIRDS OF A FEATHER,Billie Eilish
Top 50 France,17,Messy,Lola Young
Top 50 France,18,Sous la lune,Jul
Top 50 France,19,Pétunias,Werenoi
Top 50 France,20,Mauvais Garçon,Helena
Top 50 France,21,Recommence-moi,SANTA
Top 50 France,22,Bad Dreams,Teddy Swims
Top 50 France,23,Si Antes Te Hubiera Conocido,KAROL G
Top 50 France,24,OHMA TOKITA,GIMS
Top 50 France,25,That’s So True,Gracie Abrams
Top 50 France,26,Collabo,"Ninho, Niska"
Top 50 France,27,"Un jour, je l'aurai",Jul
Top 50 France,28,Je pense à vous,Linh
Top 50 France,29,CARRÉ OK,"Soolking, GIMS"
Top 50 France,30,Où aller,GIMS
Top 50 France,31,Monaco,Guy2Bezbar
Top 50 France,32,CRF - Nouvelle École,Yorssy
Top 50 France,33,NUEVAYoL,Bad Bunny
Top 50 France,34,FLASHBACK,"Favé, Gazo"
Top 50 France,35,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult"
Top 50 France,36,Dolce Camara,"Booba, SDM"
Top 50 France,37,Rien ne se remplace,"Ziak, Kaaris"
Top 50 France,38,Menace fantôme,VEN1
Top 50 France,39,Ils se demandent,Denden
Top 50 France,40,Malya,AMK
Top 50 France,41,Let's Go,"Jaden Bojsen, David Guetta, Sami Brielle"
Top 50 France,42,La vie qu'on mène,Ninho
Top 50 France,43,Coco,"Ninho, Niska"
Top 50 France,44,Carry You Home,Alex Warren
Top 50 France,45,I'M SORRY,La Mano 1.9
Top 50 France,46,Nightcall,"Kavinsky, Angèle, Phoenix"
Top 50 France,47,Forever Young,"David Guetta, Alphaville, Ava Max"
Top 50 France,48,Room,"Ziak, Josman"
Top 50 France,49,Placebo,Dinos
Top 50 France,50,Putana,Ninho
Top 50 USA,1,DtMF,Bad Bunny
Top 50 USA,2,Die With A Smile,"Lady Gaga, Bruno Mars"
Top 50 USA,3,BAILE INoLVIDABLE,Bad Bunny
Top 50 USA,4,NUEVAYoL,Bad Bunny
Top 50 USA,5,luther (with sza),"Kendrick Lamar, SZA"
Top 50 USA,6,That’s So True,Gracie Abrams
Top 50 USA,7,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay"
Top 50 USA,8,Tweaker,G3 GELO
Top 50 USA,9,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne"
Top 50 USA,10,VOY A LLeVARTE PA PR,Bad Bunny
Top 50 USA,11,BIRDS OF A FEATHER,Billie Eilish
Top 50 USA,12,APT.,"ROSÉ, Bruno Mars"
Top 50 USA,13,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
Top 50 USA,14,Sailor Song,Gigi Perez
Top 50 USA,15,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti"
Top 50 USA,16,PERFuMITO NUEVO,"Bad Bunny, RaiNao"
Top 50 USA,17,EoO,Bad Bunny
Top 50 USA,18,WELTiTA,"Bad Bunny, Chuwi"
Top 50 USA,19,EL CLúB,Bad Bunny
Top 50 USA,20,BMF,SZA
Top 50 USA,21,"Good Luck, Babe!",Chappell Roan
Top 50 USA,22,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young"
Top 50 USA,23,Who,Jimin
Top 50 USA,24,Messy,Lola Young
Top 50 USA,25,squabble up,Kendrick Lamar
Top 50 USA,26,Smile,Morgan Wallen
Top 50 USA,27,KETU TeCRÉ,Bad Bunny
Top 50 USA,28,KLOuFRENS,Bad Bunny
