Nom de la playlist,Popularité,Nom du morceau,Artiste,Genres musicaux
Top 50 France,1,NANANI NANANA,Gazo,"drill francais, french hip hop, pop urbaine, r&b francais, rap francais"
Top 50 France,2,SOIS PAS TIMIDE,GIMS,"french hip hop, pop urbaine, r&b francais, rap conscient"
Top 50 France,3,CIEL,GIMS,"french hip hop, pop urbaine, r&b francais, rap conscient"
Top 50 France,4,Alpha,"Damso, Kalash","belgian hip hop, french hip hop, pop urbaine, r&b francais, rap belge, rap conscient"
Top 50 France,5,APT.,"ROSÉ, Bruno Mars",k-pop
Top 50 France,6,Ça parle mal,Bouss,
Top 50 France,7,CARTIER SANTOS,SDM,"french hip hop, pop urbaine, r&b francais"
Top 50 France,8,Die With A Smile,"Lady Gaga, Bruno Mars","art pop, dance pop, pop"
Top 50 France,9,4 Kampé,Joé Dwèt Filé,r&b francais
Top 50 France,10,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",
Top 50 France,11,Minimum ça,Dr. Yaro,
Top 50 France,12,SPIDER,"GIMS, DYSTINCT","french hip hop, pop urbaine, r&b francais, rap conscient"
Top 50 France,13,Run,"Rim'K, SDM","arabic hip hop, french hip hop, pop urbaine, rap algerien, rap francais"
Top 50 France,14,KONGOLESE SOUS BBL,"Theodora, Jeez Suave",
Top 50 France,15,POUR ELLE,SDM,"french hip hop, pop urbaine, r&b francais"
Top 50 France,16,BIRDS OF A FEATHER,Billie Eilish,"art pop, pop"
Top 50 France,17,Messy,Lola Young,uk pop
Top 50 France,18,Sous la lune,Jul,"french hip hop, pop urbaine, rap marseille"
Top 50 France,19,Pétunias,Werenoi,"french hip hop, pop urbaine"
Top 50 France,20,Mauvais Garçon,Helena,french pop
Top 50 France,21,Recommence-moi,SANTA,french pop
Top 50 France,22,Bad Dreams,Teddy Swims,
Top 50 France,23,Si Antes Te Hubiera Conocido,KAROL G,"reggaeton, reggaeton colombiano, urbano latino"
Top 50 France,24,OHMA TOKITA,GIMS,"french hip hop, pop urbaine, r&b francais, rap conscient"
Top 50 France,25,That’s So True,Gracie Abrams,alt z
Top 50 France,26,Collabo,"Ninho, Niska","french hip hop, pop urbaine"
Top 50 France,27,"Un jour, je l'aurai",Jul,"french hip hop, pop urbaine, rap marseille"
Top 50 France,28,Je pense à vous,Linh,french pop
Top 50 France,29,CARRÉ OK,"Soolking, GIMS","french hip hop, pop urbaine, r&b francais, rap algerien"
Top 50 France,30,Où aller,GIMS,"french hip hop, pop urbaine, r&b francais, rap conscient"
Top 50 France,31,Monaco,Guy2Bezbar,"french hip hop, pop urbaine, rap francais"
Top 50 France,32,CRF - Nouvelle École,Yorssy,
Top 50 France,33,NUEVAYoL,Bad Bunny,"reggaeton, trap latino, urbano latino"
Top 50 France,34,FLASHBACK,"Favé, Gazo","drill francais, pop urbaine, rap francais"
Top 50 France,35,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult","alternative r&b, persian electronic"
